"Month","ME","RMSE","R","Obs_mean","NASA_mean"
1,0.433333333333333,0.519615242270663,-0.132067635948843,4.3,4.66666666666667
2,0.200000000000001,0.22360679774998,1,4.65,4.45
3,0.633333333333334,0.635085296108589,0.995082098645899,3.96666666666667,4.6
4,0.333333333333333,0.577350269189626,0.720576692122892,5.16666666666667,5.5
5,0.666666666666667,0.787400787401181,0.950371608794967,5.73333333333333,6.4
6,0.45,0.524404424085076,0.348925689709156,6.475,6.475
7,0.275,0.335410196624968,0.880725176845394,6.275,6.55
8,0.266666666666667,0.270801280154532,0.866025403784439,6.86666666666667,7
9,0.2,0.2,1,6.06666666666667,6.26666666666667
10,0.4,0.496655480858378,0.381246425831512,6.33333333333333,6.73333333333333
11,0.5,0.556776436283002,0.838627869377535,5.9,6.4
12,0.433333333333333,0.472581562625261,0.940634162003544,5.56666666666667,6
