"Month","ME","RMSE","R","Obs_mean","NASA_mean","Obs_median","NASA_median","Obs_sd","NASA_sd","Count_WetDays"
1,8.92330434782609,14.0009405274136,0.46819019255784,9.804,9.78173913043478,3.81,7.68,15.4679578143777,10.5485199145421,115
2,7.88816326530612,11.0547628483226,0.57426925803205,9.54826530612245,9.14336734693878,3.935,5.59,12.9706597552163,10.6961752431763,98
3,7.69731481481482,11.5575229228028,0.210382755020866,8.56259259259259,7.68694444444444,4.7,6.715,10.7814988962245,7.05937786281262,108
4,9.21268571428571,13.2286040295803,0.0840975437813809,8.57931428571429,9.14205714285714,3.81,7.4,11.4988710884462,7.62993110174696,175
5,9.8373488372093,15.1061274646001,0.438462023713251,12.049023255814,10.2473023255814,5.08,7.44,16.156985019779,10.9749982299083,215
6,5.81718181818182,10.0685293681035,0.463665867688497,7.56659090909091,4.95731818181818,3.05,3.715,11.0005896361648,5.14440606674634,220
7,5.49289156626506,11.2713484901829,0.377545833111649,6.80052208835341,3.87767068273092,2.79,2.7,11.7607948752324,3.82583927593755,249
8,6.16359832635983,10.2175176918088,0.370691774873967,7.3828870292887,4.75694560669456,3.3,3.72,10.6124656976908,4.80764476583991,239
9,5.90674796747968,9.73398480390234,0.361114616531527,7.39886178861789,6.34073170731707,3.175,4.56,10.0827916609825,6.00905889887711,246
10,10.1719827586207,14.7929332208275,0.303091426948612,11.9136206896552,11.6528448275862,6.1,9.92,14.6450179106896,9.43238602675036,232
11,10.0529326923077,14.5412757184241,0.38766243973149,11.3105769230769,13.3154326923077,6.1,10.995,14.5043867645049,11.0698269804496,208
12,9.07181818181818,13.8879991474962,0.669120197707536,12.5202673796791,13.1740106951872,7.11,9.15,18.5292113589337,14.3653047701631,187
