"Month","ME","RMSE","R","Obs_mean","Obs_sd","Obs_p25","Obs_p50","Obs_p75","NASA_mean","NASA_sd","NASA_p25","NASA_p50","NASA_p75"
1,6.31727762803235,6.40654691672717,0.552326509506143,14.9013477088949,1.22190516523412,14.25,15.1,15.8,21.2186253369272,0.993232776562164,20.535,21.33,21.965
2,6.41618618618619,6.51396893539502,0.42834535529235,15.5096096096096,1.11993067939688,14.9,15.4,16.2,21.9257957957958,0.973719291880294,21.27,22.01,22.67
3,6.79123076923077,6.86537234502962,0.390028044176826,16.3258974358974,0.997075976840471,15.7,16.3,16.9,23.1171282051282,0.803855080989897,22.6725,23.16,23.67
4,7.10036458333333,7.15467697413144,0.424150348196718,16.9424479166667,0.821350379781008,16.4,16.9,17.425,24.0428125,0.820600879156282,23.5275,24.035,24.5825
5,6.48812658227848,6.53505474394279,0.401684464801439,17.2060759493671,0.737889392550383,16.7,17.2,17.7,23.6942025316456,0.691463950922278,23.21,23.57,24.06
6,6.64620967741936,6.68120745558137,0.610231561640365,16.3206989247312,0.855441781924984,15.7,16.25,16.8,22.9669086021505,0.61371772595349,22.5475,22.92,23.3725
7,6.57916876574307,6.61126027838217,0.622515995459598,16.0070528967254,0.823211639713948,15.4,15.9,16.6,22.5862216624685,0.608951185811531,22.16,22.55,22.97
8,6.6214898989899,6.65580571737748,0.461254511886881,15.9194444444444,0.740954358555727,15.4,15.9,16.4,22.5409343434343,0.498507530237627,22.205,22.55,22.87
9,6.68583979328165,6.72113135702214,0.445715903798904,15.9475452196382,0.743234019796623,15.4,15.9,16.45,22.6333850129199,0.509379551559371,22.335,22.65,22.94
10,6.66054794520548,6.70460246745289,0.305345005578244,16.0315068493151,0.694301117562519,15.6,16.1,16.5,22.6920547945205,0.60354119578641,22.3,22.71,23.14
11,6.40140401146132,6.44339925682151,0.390763828861897,15.8822349570201,0.695944443741378,15.4,15.9,16.3,22.2836389684814,0.633320655900104,21.84,22.3,22.76
12,6.34181008902077,6.38821752489696,0.613286284463219,15.4074183976261,0.929591970791766,14.8,15.4,16.1,21.7492284866469,0.801202963492962,21.27,21.87,22.3
