"Month","ME","RMSE","R","Obs_mean","Obs_sd","Obs_p25","Obs_p50","Obs_p75","NASA_mean","NASA_sd","NASA_p25","NASA_p50","NASA_p75"
1,1.13641509433962,1.33608562519161,0.390391007589093,1.35361185983827,1.28831983617865,0.53,0.83,1.81,1.95897574123989,0.628179288363474,1.52,1.93,2.4
2,0.946456456456456,1.20288404679338,0.58301713125779,1.68543543543544,1.46636841581822,0.61,1.19,2.42,1.83597597597598,0.758970862751295,1.2,1.8,2.34
3,0.743025641025641,1.03326492742975,0.519337407319346,1.35953846153846,1.19875440594238,0.56,0.97,1.795,1.24302564102564,0.536900630711667,0.86,1.12,1.45
4,0.656588541666667,0.836980404738765,0.255536763320644,0.8921875,0.722677359043544,0.42,0.72,1.19,1.157890625,0.563383547814838,0.73,1.015,1.4425
5,1.26713924050633,1.50748814467282,0.695535797907925,1.76673417721519,1.75709633506013,0.56,1.22,2.36,2.59301265822785,1.22629969893824,1.59,2.58,3.55
6,1.38599462365591,1.80253353659166,0.659110230422317,4.14908602150538,2.15286287751909,2.58,3.86,5.56,3.70470430107527,0.75674588390796,3.3,3.765,4.22
7,1.58697732997481,2.03839870229585,0.67500815816674,3.98340050377834,2.4637516094834,2.06,3.75,5.72,3.57395465994962,0.830487703835473,3.09,3.67,4.14
8,1.45598484848485,1.78780316352644,0.658051437849156,3.32914141414141,2.2121213302962,1.485,3,4.6975,3.55916666666667,0.841818443097584,3.12,3.63,4.16
9,1.3093023255814,1.60051445217715,0.745184172399815,2.80188630490956,2.13383374062643,0.92,2.47,4,3.15258397932817,0.941913794308416,2.605,3.2,3.82
10,1.14550684931507,1.48593469500117,0.728236725540367,1.72358904109589,2.03137140269911,0.47,0.92,1.94,2.10712328767123,1.12087691270706,1.16,1.92,2.98
11,0.896819484240688,1.14160082144771,0.5095853340799,1.4343553008596,1.31715251469287,0.42,0.92,2.17,1.57787965616046,0.715471532774978,1.04,1.48,1.96
12,0.869762611275964,1.08115514111951,0.59127657169223,1.61430267062315,1.29858858950189,0.61,1.28,2.36,1.88750741839763,0.740709734918569,1.35,1.8,2.34
